,k,p,q,run_id,param,param_out,param_pos,input,output,diff
604,2,4,4,2,theta,theta_out,0,0.2764955357111225,0.2964370812736378,-0.019941545562515317
605,2,4,4,2,theta,theta_out,1,0.34005941881602575,0.3254411418116397,0.01461827700438606
606,2,4,4,2,theta,theta_out,2,0.22588613177372507,0.22379284506030092,0.002093286713424153
607,2,4,4,2,theta,theta_out,3,0.5158533453902552,0.5152185084727495,0.0006348369175056545
600,2,4,4,3,theta,theta_out,0,-0.7696147372324238,-0.7782169758592756,0.008602238626851832
601,2,4,4,3,theta,theta_out,1,-0.1124474997785565,-0.09661609959603076,-0.01583140018252574
602,2,4,4,3,theta,theta_out,2,0.7785397592337608,0.7819778737174027,-0.003438114483641841
603,2,4,4,3,theta,theta_out,3,-0.4622610785615175,-0.47075375924231794,0.008492680680800446
599,8,0,1,0,theta,theta_out,0,-0.8302348026934154,-0.8293125532875363,-0.0009222494058791497
598,8,0,1,1,theta,theta_out,0,0.8085480123697464,0.8072648441729114,0.0012831681968349384
597,8,0,1,2,theta,theta_out,0,0.048777579350547585,0.05074890034156839,-0.0019713209910208057
596,8,0,1,3,theta,theta_out,0,0.08127925659512274,0.08211397896498619,-0.0008347223698634554
594,8,0,2,0,theta,theta_out,0,0.09629809633443505,0.10288717047485778,-0.006589074140422729
595,8,0,2,0,theta,theta_out,1,0.7299044171644067,0.7293403164179123,0.0005641007464943781
592,8,0,2,1,theta,theta_out,0,-0.7878357853795096,-0.7837506344657067,-0.004085150913802904
593,8,0,2,1,theta,theta_out,1,0.3388897800293665,0.33811401359338017,0.0007757664359863137
590,8,0,2,2,theta,theta_out,0,0.14839330213172597,0.14400039627256955,0.004392905859156415
591,8,0,2,2,theta,theta_out,1,-0.5024255530331878,-0.5023798766840116,-4.567634917618246e-05
588,8,0,2,3,theta,theta_out,0,-0.26852835212521664,-0.267582725227369,-0.0009456268978476623
589,8,0,2,3,theta,theta_out,1,0.5834014690889437,0.5842521933018359,-0.0008507242128921177
585,8,0,3,0,theta,theta_out,0,0.28984692406104623,0.28494242310424434,0.004904500956801894
586,8,0,3,0,theta,theta_out,1,-0.5622478941447302,-0.5605058289584394,-0.001742065186290831
587,8,0,3,0,theta,theta_out,2,-0.3684415855054091,-0.3697693090705477,0.0013277235651386055
582,8,0,3,1,theta,theta_out,0,0.07870835158849643,0.08075186850152888,-0.0020435169130324504
583,8,0,3,1,theta,theta_out,1,0.573728209473714,0.5727287680092676,0.0009994414644463046
584,8,0,3,1,theta,theta_out,2,0.6812879147559145,0.6828030633534338,-0.0015151485975192225
579,8,0,3,2,theta,theta_out,0,-0.7180813783092727,-0.7214551092061011,0.003373730896828464
580,8,0,3,2,theta,theta_out,1,-0.42019803433903735,-0.42107200141393203,0.0008739670748946771
581,8,0,3,2,theta,theta_out,2,0.8116768799351204,0.8125693045173172,-0.0008924245821968491
576,8,0,3,3,theta,theta_out,0,0.751344793138755,0.7537182394125695,-0.002373446273814528
577,8,0,3,3,theta,theta_out,1,-0.170079096803407,-0.16949640065427404,-0.0005826961491329496
578,8,0,3,3,theta,theta_out,2,-0.0445163888530942,-0.04427265676577062,-0.00024373208732358237
572,8,0,4,0,theta,theta_out,0,-0.011367152225273153,-0.013677526142903306,0.0023103739176301534
573,8,0,4,0,theta,theta_out,1,0.47894388788647835,0.4798818645254865,-0.0009379766390081312
574,8,0,4,0,theta,theta_out,2,0.26461439856471947,0.2638973140163821,0.0007170845483373545
575,8,0,4,0,theta,theta_out,3,-0.44215741570514244,-0.44225929576073797,0.00010188005559552682
568,8,0,4,1,theta,theta_out,0,-1.078991915990135,-1.081040072665045,0.0020481566749099844
569,8,0,4,1,theta,theta_out,1,0.58930702324555,0.5831119110390286,0.006195112206521358
570,8,0,4,1,theta,theta_out,2,0.39627217239767415,0.4054450527548625,-0.009172880357188329
571,8,0,4,1,theta,theta_out,3,-0.3352569709859265,-0.3444463444846992,0.00918937349877269
564,8,0,4,2,theta,theta_out,0,-0.839808854731828,-0.8339998569077962,-0.00580899782403177
565,8,0,4,2,theta,theta_out,1,0.9180936995038009,0.9100228253322882,0.008070874171512754
566,8,0,4,2,theta,theta_out,2,-0.20961273385188883,-0.20204745404382088,-0.007565279808067954
567,8,0,4,2,theta,theta_out,3,-0.17020847560557212,-0.1760890067508891,0.005880531145316975
560,8,0,4,3,theta,theta_out,0,-0.0030166905705704683,0.0007362207790316578,-0.003752911349602126
561,8,0,4,3,theta,theta_out,1,0.2094211148481675,0.2051612885543775,0.004259826293789987
562,8,0,4,3,theta,theta_out,2,0.3351938239802055,0.3367198642092325,-0.0015260402290270259
563,8,0,4,3,theta,theta_out,3,-0.22514058320776095,-0.2259043632939898,0.0007637800862288491
559,8,1,1,0,theta,theta_out,0,0.6345906223286137,0.628790650094302,0.005799972234311723
558,8,1,1,1,theta,theta_out,0,0.6694489462537228,0.6679186002432088,0.0015303460105139388
557,8,1,1,2,theta,theta_out,0,-0.7914676183860913,-0.7911898480375553,-0.00027777034853593285
556,8,1,1,3,theta,theta_out,0,-0.04367962403601739,-0.040352566395558245,-0.0033270576404591454
554,8,1,2,0,theta,theta_out,0,-0.37932195478776887,-0.38275930323372276,0.0034373484459538917
555,8,1,2,0,theta,theta_out,1,-0.2799830518019188,-0.28531574009260613,0.005332688290687337
552,8,1,2,1,theta,theta_out,0,-0.2015612037718636,-0.20150495577951721,-5.6247992346381004e-05
553,8,1,2,1,theta,theta_out,1,0.7514284231271147,0.7457578514474428,0.0056705716796718875
550,8,1,2,2,theta,theta_out,0,1.3169626975716744,1.3169187955226678,4.390204900661665e-05
551,8,1,2,2,theta,theta_out,1,0.8280956380770416,0.8262398625350851,0.0018557755419564836
548,8,1,2,3,theta,theta_out,0,-0.1280678535854498,-0.1360743920551246,0.008006538469674779
549,8,1,2,3,theta,theta_out,1,-0.31990667274040985,-0.3212265970103174,0.0013199242699075686
545,8,1,3,0,theta,theta_out,0,0.21782677102184755,0.202044236418518,0.015782534603329568
546,8,1,3,0,theta,theta_out,1,0.18959033636005806,0.1932505415847374,-0.0036602052246793304
547,8,1,3,0,theta,theta_out,2,0.5001075175242997,0.4902376619969339,0.0098698555273658
542,8,1,3,1,theta,theta_out,0,-0.22115248340802435,-0.22755557886775013,0.006403095459725783
543,8,1,3,1,theta,theta_out,1,0.8883703066701056,0.8924891637153403,-0.004118857045234625
544,8,1,3,1,theta,theta_out,2,0.04636890929035209,0.04004903167068957,0.006319877619662517
539,8,1,3,2,theta,theta_out,0,0.37823438863056014,0.3700137840041328,0.00822060462642732
540,8,1,3,2,theta,theta_out,1,0.3450105812390956,0.3461711161524052,-0.0011605349133095855
541,8,1,3,2,theta,theta_out,2,-0.33138213503769665,-0.3323948461876807,0.0010127111499840802
536,8,1,3,3,theta,theta_out,0,0.5508612230311377,0.5507581333898649,0.00010308964127281328
537,8,1,3,3,theta,theta_out,1,-0.5178907831964273,-0.5189080714380189,0.0010172882415915296
538,8,1,3,3,theta,theta_out,2,-0.5252167205968591,-0.5287997851698637,0.003583064573004613
532,8,1,4,0,theta,theta_out,0,-0.752762829598218,-0.7584090913913794,0.0056462617931613
533,8,1,4,0,theta,theta_out,1,-0.1377379470719,-0.13787398343201904,0.00013603636011902398
534,8,1,4,0,theta,theta_out,2,0.473432360321446,0.47528160024987776,-0.0018492399284317784
535,8,1,4,0,theta,theta_out,3,-0.5209480523881078,-0.520733232725276,-0.00021481966283176668
528,8,1,4,1,theta,theta_out,0,-0.09482574451224807,-0.08244680403092236,-0.012378940481325706
529,8,1,4,1,theta,theta_out,1,-0.007697177516748532,-0.006687389110422153,-0.001009788406326379
530,8,1,4,1,theta,theta_out,2,0.08632732668372271,0.09236828892154895,-0.006040962237826242
531,8,1,4,1,theta,theta_out,3,-0.1883209469795668,-0.18605552694672992,-0.00226542003283689
524,8,1,4,2,theta,theta_out,0,0.7043824152373679,0.6985343630099157,0.005848052227452216
525,8,1,4,2,theta,theta_out,1,0.7105336200919562,0.7023805415163406,0.008153078575615647
526,8,1,4,2,theta,theta_out,2,-0.2317897013799195,-0.24122372326221259,0.009434021882293087
527,8,1,4,2,theta,theta_out,3,-0.09845780654418851,-0.10489186069327029,0.006434054149081783
520,8,1,4,3,theta,theta_out,0,0.4187774423558154,0.41515260815988253,0.0036248341959328467
521,8,1,4,3,theta,theta_out,1,0.29677716397132525,0.2938499495882622,0.002927214383063037
522,8,1,4,3,theta,theta_out,2,-0.5223551493118876,-0.5268597068171297,0.004504557505242035
523,8,1,4,3,theta,theta_out,3,-0.5968774582236724,-0.5983839288835343,0.0015064706598618693
519,8,2,1,0,theta,theta_out,0,-0.8524979085115756,-0.8515231070291218,-0.0009748014824537687
518,8,2,1,1,theta,theta_out,0,0.9024211590795702,0.9014076490990934,0.0010135099804767789
517,8,2,1,2,theta,theta_out,0,0.6098971546306904,0.614017454189176,-0.004120299558485585
516,8,2,1,3,theta,theta_out,0,-0.8868446694864811,-0.8917165627049938,0.004871893218512668
